리뷰,점수,감정판단
배송이 빨라요 ㅋㅋ,5,1
평소 xl입는데도 이건 좀 많이 커서 직접 줄였어요ㅎ 배부분이랑 목부분에 찍찍이로 되있어서 입히기 편하고 여름에 입기 딱이네요,5,1
원단 얇고 가벼워서 여름에 입기 좋아요. 근데 둘레가 넘 커서 줄여서 입어야되요ㅎ,5,1
너무 이뻐요 소재감도 좋고 사이즈도 딱맞고  좋아요,5,1
색상이랑 디자인이 마음에 드네요,5,1
좋아요 이뻐요 ㅎㅎ,5,1
좋아요 이뻐요 ㅎㅎ,5,1
실내복으로 좋아요^^,5,1
애들 커플로입히려고 구매햇어요  사이즈는 약간작아요,5,1
옷이뻐요 여름에 열씸히 입히고 다녀야겠어요,5,1
사이즈만 안작으면 좋겟네요 옷은 예뻐요,5,1
옷 주문했는데 약간 작네요 엠사이즈는 너무크구 사이즈만 맞았음 제일좋을거같아요,5,1
저렴한가격에 디자인 맘에 들어옴~ 가슴둘레40cm -> XL여유있게 맞음/L아주아주 여유없이 꽈악 맞음 ㅠㅠ  가슴둘레36cm-> L 여유있에 맞음 2-3cm여유있게 주문하심 되욤. 신축성 없어욤,5,1
사이즈 미스였지만 넘 기여워요ㅜㅜ,5,1
면이 정말 좋아요ㅜㅜ,5,1
재질도 디자인도 이쁘네요ㅎㅎ,5,1
재질도 디자인도 이쁘네요ㅎㅎ,5,1
색이 엄청 진할 줄 알았는데 살짝 연해서 좋아요!,5,1
싸이즈 틀리게 왔어요 귀찮아. 그냥 대충수선해서 입혀네요,5,1
아이가 금방 클 것 같아서 일부러 M사이즈로 주문했는데 조만간 입힐 수 있을 것 같아요! 상세랑 똑같구 넘 이뻐요 😍,5,1
배송이 빨라요 ㅋㅋ,5,1
평소 xl입는데도 이건 좀 많이 커서 직접 줄였어요ㅎ 배부분이랑 목부분에 찍찍이로 되있어서 입히기 편하고 여름에 입기 딱이네요,5,1
원단 얇고 가벼워서 여름에 입기 좋아요. 근데 둘레가 넘 커서 줄여서 입어야되요ㅎ,5,1
너무 이뻐요 소재감도 좋고 사이즈도 딱맞고  좋아요,5,1
색상이랑 디자인이 마음에 드네요,5,1
생각보다̆̈ 괜찮았음,4,1
하네스 시키면서 같이추가 골라본건데 저렴하고 만족해요 얇고 젛아요 가볍게 입기 딱 좋네요 ㅋㅋ,4,1
너무이뻐요 가격만족,4,1
촉감도보들보들하고 예뻐요~,4,1
ㅎ ㅎ 신축성도좋고 원단도 부드러워요 이뻐요,4,1
원피스가 이뻐요 파란색도 구매해야겠네요,4,1
예쁘게 잘 맞아요ㅎ,4,1
이뻐요~ 근데 울 강아지가 길어서 살짝 짧은데 잘 입힐게요ㅎ,4,1
잘 입도록할게요ㅎㅎ,4,1
아직까지 잘 쓰고 있어요!,4,1
저희 강아지 많이 크면 가을정도에 집에서 실내복으로 입히려구 구입한거라 사이즈 크게 주문했는데 디자인 너무 귀엽네요 ^^ 언넝 입혀보고싶어요!,4,1
도그아이 옷들 가격 저렴한데 재질도 괜찮아서 자주 사 입혀요^^ 첫째랑 커플 실내복으로 구입한거라 아직 더 커야 입힐수있지만 옷은 넘 귀여워요^^,4,1
배송도 빠르고 저렴하게 받았어요!!,4,1
너무 이뻐요 무난하니 만족합니다,4,1
면도 좋고 댕댕이도 편하게 잘 입습니다,4,1
이가격에 이정도면 만족합니다~~,4,1
시원해 보이고 이뻐요,4,1
넘나 예뿌 💛💛💛,4,1
빠른발송과 가격대비 넘 이뿌고좋아요 애기가편하게잘입을수있어서  좋아요,4,1
배송 빠르고 좋아요! 5.5키로 시추 라지 잘맞아요^^,4,1
저렴해서 한번 시켜봤는데요~  입히면 귀엽긴한데 부책하는 부분이 약해보이긴하네요~ 가격 값어치 하는듯해요 애기가 작은편이라 사이즈를 좀 줄여야 할듯해요~ 근데 귀여워요 ㅋㅋ,4,1
진짜 이뻐요^^ 엄마한테 자랑하고싶어서 오실때 까지 입혀놓고 있었네요 ㅋㅋㅋ 입히기도 편하고 얇아서 여름에도 충분히 입힐수 있을거 같아요~,4,1
입혀보고 반했습니다~ 강아지가 작은편이라 클까봐 걱정했는데 너무 귀엽고 이뻐요~,4,1
맘에 들어서 두번째 구매했습니다  토끼 원피스 괜찮습니다  꽃무늬 원피스는 별로 입니다,4,1
잠옷같고 귀여워용 ㅋㅋㅋ 실버푸들이라 안어울리는 색도 많은데 너무 깜찍하고 귀엽네요 ㅋㅋㅋ,4,1
배송도빠르고 소재좋고 컬러도 화면과같아요,4,1
5.4킬로 푸들 XL살짝넉넉히 잘맞아요,4,1
소재도 톡톡하고 마감도 깔끔하고 예쁘네요,4,1
면도 괜찮고 이가격에 이정도면 만족합니다 ㅎ,4,1
진짜 귀엽네요 ㅋㅋ 이 가격에 이정도면 정말 너무 만족입니다👍👍,4,1
사이즈는 너무 딱맞는 감이 있어서 한사이즈 업해도 될거같아용 배송도 바로오고 가격대비 짱입니달 💛😝,4,1
디자인 넘 예뿌용🧡🧡,4,1
가격 대비 옷 너무 좋아요 ㅎㅎ 입히고 벗기기도 편하고요. 여성여성 너무 예쁘네요!^^,4,1
가격 대비 옷 너무 좋아요 ㅎㅎ 입히고 벗기기도 편하고요. 여성여성 너무 예쁘네요!^^,4,1
예쁘고 좋고 싫어하지만 괜찮네요,4,1
천이 부드럽고 좋네요~아직 적응이 안 됐는지 잘 걷지는 않지만 기다려줄려구요~빨리 같이 산책하면 좋겠어요~,4,1
하네스 착용 대만족이구요... 옷사이즈는 정사이즈 아니면 약간 컸는데 작은것보다 괜찮아서 만족합니다!!,4,1
너무귀엽고 원단도좋아요 싼가격에 예쁜옷 잘샀어요 다음에 또구매할께요,4,1
조금 큰거같아요 그래도 귀염,4,1
잠옷처럼 입히면귀여워요,4,1
넘 잘 커서 🤣 조금 크게 시켰어요! 귀엽네용 ㅋ,5,1
"말티즈 3.2인데 저희강아지가 다른 말티즈에 비해 덩치가 조금 큰데 M사이즈는 정말 딱 맞거나 살짝 작고,L는 큰감이 있어서 애매했지만 싼가격에 만족합니다.",5,1
"말티즈 3.2인데 저희강아지가 다른 말티즈에 비해 덩치가 조금 큰데 M사이즈는 정말 딱 맞거나 살짝 작고,L는 큰감이 있어서 애매했지만 싼가격에 만족합니다.",5,1
"말티즈 3.2인데 저희강아지가 다른 말티즈에 비해 덩치가 조금 큰데 M사이즈는 정말 딱 맞거나 살짝 작고,L는 큰감이 있어서 애매했지만 싼가격에 만족합니다.",5,1
"말티즈 3.2인데 저희강아지가 다른 말티즈에 비해 덩치가 조금 큰데 M사이즈는 정말 딱 맞거나 살짝 작고,L는 큰감이 있어서 애매했지만 싼가격에 만족합니다.",5,1
저렴한 가격에 빠른 배송~! 👍👍👍,5,1
5킬로 믹스견인데 딱 맞아요,5,1
5킬로 믹스견인데 딱맞아요,5,1
저렴한 가격에 옷고 이쁘고 시원한 여름을 보낼수 있을것 같습니다   우리 애기들도 넘넘  좋아하고 보는 저도 너무 이쁨이다^^,5,1
처음 구매 해뵜느데  배송도 맘에들규 옷도 맘이 듭니더 다음이 또 쇼핑 해여 게쑈ㅡㅂ니다,5,1
저렴하면서고 이쁘게 입힐수 있는곳 다음에 또 구경하고 구매 하겠습니다,5,1
맘에 듭니다  다음에 또 구매 할게요,5,1
이쁘고 ㅛㅣ우ㅝㄴ한 여름을 버낼수 있을것 같습니다. 다음에도 또 구매 해야 게ㅛ어여  겨울옷도 있기 기대하며..,5,1
너무너무 만족 스럽슺니다 다름이 또 구매 할 게 요.,5,1
이쁘구 갠찬아여 구매 또 항게요,5,1
4.7키로 말티즈 L사이즈 잘 맞아요 이프네요,5,1
배송 응대 아주 좋아요..,5,1
가격대비 괜찬아요...,5,1
옷너무다귀엽내오ㅡ 재질은별로,5,1
옷너무다귀여워요 만족,5,1
여름에입히면좋겠어요,3,0
청바지는 첨 사봤는데 너무 귀엽네요^^ 신축성도있고좋아요 약간크지만 작은것보단 좋아요^^ 담에또 구매할께요^^,3,0
가격도 저렴하고 너무 얇지도 않아 만족합니다,3,0
가격도 저렴하고 옷도 예뻐서 만족합니다,3,0
가격도 자렴하고 옷도 예쁘네요,3,0
옷은 귀여운데 좀 큰거같아영 아쉽네용,3,0
저렴한 가격에 너무 귀여운 옷을 구매해서 기분이 좋네요 잘 늘어나는 재질이어서 아이가 불편해하지 않아서 좋아요,3,0
너무 부드럽고 좋아요. 강아지도 편안해하는것같아요,3,0
커플룩입으려고 샀는데 분홍색이 찾기가 어렵네요ㅠㅠ 사이즈는 다른 강아지옷들이랑 비교해서 조금 작게나온거같아요!!,3,0
귀여워요 ㅠㅠ 잘입을게요,3,0
이뻐요 귀여워요~~,3,0
이뻐요 귀여워요~~,3,0
사이즈는 정확한거같은데 저희강아지한텐 살짝 클거같아여 ㅜ 근데 귀여워요 얇아서 시원할거같아요,3,0
배송도빠르고 강아지도 잘 적응하네요!,3,0
예뻐요 말티즈 몸이 길어서 좀 짧긴해도 편하게 입힐수 있겠어요 ~,3,0
편하고 이쁘고 저렴한 가격에 득템입니다,3,0
마음에 들어요~~~~,3,0
마음에 들어요~~~~,3,0
마음에 들어요~~~~,3,0
마음에 들어요~~~,3,0
배송도 굿~ 색상은 화면과 똑같고 사이즈도 맞아요 이쁘게 잘입을께요,4,1
배송 빨라서 좋고 사이즈도 굿 품질도굿,4,1
이쁜옷 잘입힐께요 배송도 굿 품질도 굿,4,1
배송 빨랐구요 색상 품질 다 좋았어요,4,1
빠른배송  품질굿 사이즈굿,4,1
좋아요 굿굿  배송도ㅇ굿 품질도 굿,4,1
좋아 좋아 굿굿굿 품질굿 사이즈도 굿,4,1
만족합니다. 좋아요.,4,1
만족합니다. 좋아요.,4,1
만족합니다. 좋아요.,4,1
배송빠르고 옷 재질이 좋아요,4,1
이쁘고이쁘고좋아요조아요,4,1
가격이 너무 저렴해서 일단 깜짝 놀랐구요. 길이도 넘 넉넉해서 허리가 긴 울 시츄도 잘맞았어요. 좍좍 잘늘어나서 활동하기 편했어요,4,1
저는도그아이 엄청 사랑해요~!! 쥔장님 엄청 친절하시구 배소엄청 빠르고.  상품또한 엄청 질도 좋구 디쟌 이쁘고 그냥 다 만족입니다. 가격도 엄청 다른곳보다 착하구요~~ ㅋㅋㅋ 완전 강추강추 합니다!! d^^b,4,1
디자인 좋고 가격 착하고!!,4,1
활동하기 편한거 같아요,4,1
이쁘네요~~가성비 굿!!,4,1
그가격..딱 맞는옷!!!,4,1
다자인이 이뻐요!!!,4,1
가성비 좋아요!!!!,4,1
잠옷 여기가 다른데보다도 1000원이나 더 저렴해요 아주 잘 산거 같아요 옷도 저렴하고 가성비 갑,3,0
좋아요 너무 이쁘네요 잘입힐게요 사이즈도 넉넉하네요 좀 너비가 큰데 이뻐요 다음에 또 구매할게요~!,3,0
싸게구매했어요~^^,3,0
잘입힐게요~,3,0
이쁘네요~!,3,0
좋아여 좋아여 만족만족 너무 이쁘네요 가격도 싸고 다음에 또 사러올게요 감사합니다 번창ㅎ세요 ㅎㅎ헤,3,0
좋아요 좋아요 만족합ㄴ다 배송도 엄청 빠르네요 다음에 도 구매할게요 가격도 저렴하고 대만족입니다ㅋ,3,0
너무 귀엽고 이뻐용 연강아지올인원 두가지 색상구매했는데 옷이 너무귀엽고 이뿌네요 ㅎ ㅎ처음엔 s m두벌샀는데 생각보다 목부분이커서 입혀놓으면 반쯤내려가 있더라구요 그래서 두벌또 다시 주문ㅋ ㅋ 한치수 작게입혔더니 m사이즈를 아이를 s사이즈로 입혔더니 안내려가네요 s사이즈는 애기는 xs 입혀야되는 데 작은사이즈가 없는 게 아쉬워요 ㅜㅜ 작은애가 목부분에 옷이커서나중에 보면  반쯤내려가 있다는 ㅋ ㅋ ㅋ ㅋ그래도 옷이예뻐서 결국 작은사이즈로 재구매 ㅋ ㅋ ㅋ ㅋ다른 꼬까옷에비해 목둘레가 크네나온편이네요 참고하세욤~,3,0
 ㅓㅔ페ㅓ퍼ㅐ패ㅓ,3,0
ㅠㅓㅔㅔㅑㅠ퍼ㅐ ㅐㅓ,3,0
ㅐㅗ퐤ㅙ페 ㅓㅓㅔ ,3,0
ㅓ ㅠㅏ ㅐㅗㅔㅓㅠㅓㅠㅐㅓㅏ. ㅓㅔㅔ ㅓ ㅔㅓ ㅔㅓㅓㅔㅏㅠㅔㅠㅔㅠㅔㅓㅠㅠㅔㅏㅠㅔㅓㅠㅔㅓㅏㅔㅠㅔㅏㅠㅓㅔㅠ,3,0
ㅣ ㅓㅐㅔ ㅏㅔ. ㅏㅔ ㅏㅔㅔㅏ ㅏㅠㅏㅐㅜㅐ ㅓㅐ ㅓㅐㅜㅏㅔㅔ ㅏ ㅔㅏㅞㅏㅔㅜㅞㅏㅠㅔㅏㅠㅔㅏㅔㅠㅏ,3,0
ㅓ ㅓㅐㅐㅠㅗㅠㅐㅙㅠㅕㅐㅙ퐤ㅙ ㅓㅐ ㅓㅐ ㅓㅐ ㅓㅔㅓㅠㅐㅠㅓㅐㅠㅓㅠㅓㅔㅔ ㅓㅔ ㅓㅓ ㅔ ㅏㅔ ㅔㅓㅔㅏ ㅏㅔ,3,0
올인원옷 너무 귀엽고이뻐용 옷이너무 귀엽고 이뻐서 입히고 말겠다는 의지로 사이즈 작게 다시 두번째 재구매까지 했어요 ㅎ ㅎ 목둘레가 다른 꼬까옷에 비해 여유있게 나왔어요 참고하세용,3,0
옷너무예뻐요 ㅎ ㅎ,3,0
너무귀여워요,3,0
배송빨라요 사이즈가 애매해서 라지사이즈로 주문했는데다른옷은 얼추 맞는데 이건 좀 크네요아직 성장기라 더 크면 입히면될거같아요,3,0
배송빨라요,3,0
배송빨라요,3,0
배송빨라요 사이즈가 애매해서 널널하게 라지사이즈로 주문했는데강아지에게 적당하게맞네요배송도 빠르고 상품도 마음에들어요,5,1
사진이랑 너무 다르네요 사진에서는 노란색별이 완전 쌩노랑이라 화사할줄알았는데 노란색이 겁나 어두워서 회색바탕에 너무 칙칙하네요 이건 실패요,5,1
엄청 귀엽고 예뻐요,5,1
너무나 만족스러운 옷이에요  사실 강아지 옷은 바닥에 끌리고 입히면서 목 늘어나고 해서 비싼돈 주고 사기가 아까운데정말 저렴한 가격으로 사서 잘 입고 다닙니다. 추천드려요,5,1
추천드립니다 너무 귀엽네요 ㅋㅋ 더 쨍한 노란색으로 입혀도 귀여울 것 같아요. 저렴한 가격에 잘 사서 요즘 패션쇼 하는 것 처럼 맨날 갈아입히고 나가네요!,5,1
너무이쁘네요 ㅋㅋㅋ 너무 귀여워요. 집에서 입는 옷 같지만 밖에서 입기에 간편하네요! 사이즈가 약간 작은건지 ㅋㅋㅋ 팔 부분이 부자연스러워요,5,1
귀여움ㅎㅎ,5,1
좋아요ㅋㅋ,5,1
귀여워요ㅎ,5,1
완전 귀여워용  애기 사이즈가 3키로 m인데용 겁나 이뻐용  애도 좋아하고 털깍고 입혔더니 너무 이쁩니다  완전 이쁨이 뿜뿜이어용,5,1
완저뉴이뿜이ㅠ뿜뿜 이에용  너어무 이쁨니다 너어무 이쁨니다 너어무 이뻐용  애가 사이즈가 작은데 겁나 너무 이뻐용 진짜,5,1
ㄱㄴㄱㄴㅂ ㅈㄱㅅㅂㄷㄱ니늑ㆍㄱㄴㄱㄷ근급ㄴ븝ㄷ븝ㄷ븡ㆍㅇㆍㅇㆍㅅㆍ브븨ㅓ힛ㄱㄷㄱㅅ급ㄷㅂㄴ옾ㄷ닌ㄱㅅ급ㄴㅂㄷㅂㄷ급ㆍㅂ,5,1
ㅅㄴㄱㄴㄱ ㅅㄱㄴㅂㄴㄱㅅㄴ그긔ㅡㄱㄴ그번ㄱ사ㅡㄱㅅㄱㅅㅂᆢㄱㅎㄱㄴㄱ히ㅢㅓㅓㅢㅡ니시ㅡ긋ㅈ긘ㄱㅈㅋㅅㄱㅇㄱ니ㅢㅡㄱ시,5,1
ㅈㅂㄴㄱㄹㅂ 습ㄷㄱㅅ븍ㄷ븝ㅌㅂㄹ브ㅡㅂㄷ슥ㄷㅂㄴㄱㅈㅅㅂㅅㄱㅅㅂㄴㅂㅇㄱㄴㄱㄷㄱㅇㄱ밋ㅂㄷㅅㄱㅇㄱㄷㅂㅇㄱㄷㄱㅈ,5,1
너무이뻐요 ㅎㅎㅎㅎ ,5,1
가격에 비해 괜찮네요,5,1
파란색이 저희 강아지한테 제일 잘 어울리네요!,5,1
실내에서 입으면 이쁜 옷~,5,1
노란색 너무 귀여움ㅋㅋㅋ,5,1
"멜빵바지가 너무귀여워요~ 여름이라 덥긴하겠지만, 실내에 에어컨을 항상 틀어놔서 올인원 멜빵 입혀도 될것 같아서 주문했는데, 사이즈도 딱이고 색감도 너무 예뻐요~ 자주 이용해야 겠어요",5,1
빠른배송과 좋은상품 감사해요~~ 넘나 귀여워요,5,1
잘 받았습니다,5,1
ㅎㅎ 강아지가 피부가 예민해서 순면 100프로로 된 면으로 짜여진 옷을 찾고 있었는데순면 100프로 여기있네요 ㅠㅠㅠ 감사합니다많이 파세용,5,1
등길이 길고 괜찮아요  다만 뭐가 묻어왔더라구요 ,5,1
등길이 길고 괜찮아요 저렴하고 굳,5,1
귀여워요 얇기는 많이 얇아오 ,5,1
얘도 괜찮은데 많이 얇아요 ,5,1
귀엽네여 ㅋㅋ많이 얇아요 ,5,1
많이얇아요 등길이는 좋아요 ,5,1
깜찍하고 이뻐요,5,1
귀엽고 이뻐요,5,1
메시 만들려고 샀어요 귀엽 ㅋㅋ,5,1
옷이 젤 편해보여요,5,1
기여워욧 ㅋㅋ,5,1
귀여워요 ㅋㅋㅋ,5,1
넉넉한 사이즈에 귀엽고 얇아서 여름까지 입을거 같아요,5,1
이뻐용이뻐용,5,1
이뻐용이뻐용,5,1
잘받았습니다,5,1
그냥 그래요 생각보다 괜찮고 일단 가성비 좋음ㅎ그리고 젤 중요한건 사이즈가 잘 맞아서 다행이라는거ㅎ 쏘~쏘~~^^,5,1
꽤 이쁨 생개보다 이쁘고 가격대비 만족스러워요ㅎ 사이즈도 잘맞아서 정말 다행이구요ㅎ 다음에 또 자주 이용할께요ㅎ 이쁜 옷으로 업뎃 많이 해주세요~,4,1
다행히 사이즈가 잘맞음,4,1
가성비  괜찮아요,4,1
좋아요!~,4,1
좋아요!~,4,1
좋아요!~,4,1
좋아요!~,4,1
잘받앗어요 잘 받았습니다. 배송도 빨리 와서 좋아요. 아프로도 많이 파세요. 다음에 또 구매할게요..,4,1
잘받앗어요 잘 받앗어요. 배송도 빨리 와서 너무나 좋아요. 다음번에도 여기서 구매하면 되겠네요. 수고하세요,4,1
잘받앗어요 택배 잘 받앗어요. 주문하고 얼마 안 되서 도착 했어요. 잘 입힐게요. 앞으로도 예쁜 옷 부탁요,4,1
잘받야어요. 잘 받았습니다. 배송도 빨리 오고 좋아요. 옷도 입혀 놓으니 귀엽네요. 많이 파세요. 수고하세요,4,1
귀엽네요. 귀엽네요. 근데 옷 구조가 조금 특이해요. 목이랑 가슴 쪽에 찍찍이로 연결시켜 입히는 거네요.,4,1
이뻐요 이제 겨울이라 입기엔 너무 얇지만 가을에 체크셔츠 잘입혔습니다~ 모자랑 같이쓰니까 진짜 귀여움!,4,1
잘 받았어요. 잘 받았어요. 티에 멜빵 조끼가 그려져있어서 입힐 때 너무 귀여워요. 좋아요 많이 파세요.,4,1
잘 받았어요. 잘 받았어요. 배송 잘 받았습니다. 입히니깐 깔끔하고 좋아요. 많이 파세요. 수고하세요..,4,1
잘받았어요 잘 받았어요. 옷이 귀엽네요. 빠른 배송 감사합니다 많이 파세요. 근데 소재는 가격만큼하는것 같아요.,4,1
잘받앗어요,4,1
잘받앗어요,4,1
잘받앗어요,4,1
잘받앗어요,4,1
잘받앗어요,5,1
구매완료임,5,1
구매합니다,5,1
잘받앗어요,5,1
사이즈가 크게 나왔어요. L사이즈 입는 3.7킬로 말티즈 이 옷은 M사이즈가 맞네요. 발랄한 느낌의 스트라이프 무늬가 너무 예뻐요 빨강 검정 모두 구입하고 만족합니다,5,1
메시화팅!! 어쩜 이리 축구복이 잘어울리는지!! 사장님 농구복 노랑대신 잘못보내주신 축구복 노랑두 너무 이뻐요!! 실수는있었지만 친절한상담과 서비스 감사합니다!  원래 시켰던 노랑 농구복 예쁘게보내주세요!!^^* 아르헨 브라질 축구복 넘나 이쁘네요!!감사합니다,5,1
적극추천이요~ 귀여워죽겟어요 스폰지밥이제일 귀여운거 같아요 ㅋㅋ잘 입히고 있습니다 ~사이즈도 넉넉하고 좋아요,5,1
사이즈도 좋고 잘 맞아요~ 잘 입히고 있습니다~스폰지밥 노란색이 제일 귀여워요 잘 입힐께요~ 배송도 빠르고 좋았어요 ㅋㅋ,5,1
입혀보니 깜찍하구 귀여워요 강추합니다 ,5,1
입혀보니 깜찍하구 귀여워요 강추합니다 ,5,1
입혀보니 깜찍하구 귀여워요 강추합니다 ,5,1
괜찮아요 강아지가 작은 편이라 좀 풍덩해 보이는 것 빼곤 좋아요 면도 부드럽고 편하게 입힐 수 있을거 같으네요ㅣ,5,1
사이즈가 좀 큰것 빼곤 맘에 들어요,5,1
짱귀여워요♡,5,1
ㄱㅅㄷㅅ긋근긋ㄷㄱㅅ ㅡㄱㅅㄷㄱㅅㄷㅅㄱㄷㅅㄱㄷㅅㄱㄷㅅㄱㄷㅇㄷㄱㅇㄷㄱㅇㄷㅇㄱㄷㅇㄱㄷㅇㄱㄷㅇㄱㄴㅇㄱㅇㄱㄷㅇㄷㄱㅇㄷㄱ,5,1
농구복 노랑 너무 예뻐요!!! 진짜 맘에들어요 시원하라고 구멍 송송에 색감까지예쁘구 가격두 싸구요!! xl시켰는데 딱맞네요!! 사업번창하세여!!!감사합니당!!!,5,1
좋아요 스트라이프 티는 너무 이쁜데 같이 붙어있는 바지는 조금 추리닝 같네요 ㅎㅎ. 그래도 이쁘긴해용,5,1
귀여워요 살이 좀 찐거 같아 M으로 구매했는데 딱 맞아서 좋네요. 모자까지 씌우니 귀여움 2배입니다,5,1
입혀보니 이뻐요,5,1
짱 귀여워요!!,5,1
잘받앗어요,5,1
구매완료임,5,1
구매합니다,5,1
잘받앗어요,5,1
사이즈가 크게 나왔어요. L사이즈 입는 3.7킬로 말티즈 이 옷은 M사이즈가 맞네요. 발랄한 느낌의 스트라이프 무늬가 너무 예뻐요 빨강 검정 모두 구입하고 만족합니다,5,1
메시화팅!! 어쩜 이리 축구복이 잘어울리는지!! 사장님 농구복 노랑대신 잘못보내주신 축구복 노랑두 너무 이뻐요!! 실수는있었지만 친절한상담과 서비스 감사합니다!  원래 시켰던 노랑 농구복 예쁘게보내주세요!!^^* 아르헨 브라질 축구복 넘나 이쁘네요!!감사합니다,5,1
